date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goal_diff,result,home_win,average_age,average_caps,fifa_ranking,recent_tournament_score
1990-01-12,Algeria,Mali,5.0,0.0,Friendly,Paris,France,True,5.0,1,1,28.2,30.0,37,5.0
1990-01-14,Algeria,Cameroon,3.0,1.0,Friendly,Paris,France,True,2.0,1,1,28.2,30.0,37,5.0
1990-01-17,Mexico,Argentina,2.0,0.0,Friendly,Los Angeles,United States,True,2.0,1,1,27.8,30.0,19,5.0
1990-01-24,France,German DR,3.0,0.0,Friendly,Kuwait City,Kuwait,True,3.0,1,1,26.8,60.0,2,10.0
1990-01-25,Nigeria,Ivory Coast,2.0,0.0,Friendly,Bauchi,Nigeria,False,2.0,1,1,26.2,30.0,33,5.0
1990-01-25,United Arab Emirates,Egypt,1.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,False,-1.0,-1,0,27.2,30.0,47,5.0
1990-01-27,Ivory Coast,Liberia,1.0,0.0,Friendly,Bauchi,Nigeria,True,1.0,1,1,27.0,30.0,34,5.0
1990-01-27,United Arab Emirates,Egypt,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,False,1.0,1,1,27.2,30.0,47,5.0
1990-01-28,Nigeria,Senegal,1.0,1.0,Friendly,Bauchi,Nigeria,False,0.0,0,0,26.2,30.0,33,5.0
1990-02-02,Colombia,Uruguay,0.0,2.0,Miami Cup,Miami,United States,True,-2.0,-1,0,28.0,30.0,13,5.0
1990-02-02,Iran,Poland,0.0,2.0,Friendly,Tehran,Iran,False,-2.0,-1,0,28.5,30.0,22,5.0
1990-02-02,United States,Costa Rica,0.0,2.0,Miami Cup,Miami,United States,False,-2.0,-1,0,25.5,30.0,18,5.0
1990-02-04,Algeria,Romania,0.0,0.0,Friendly,Algiers,Algeria,False,0.0,0,0,28.2,30.0,37,5.0
1990-02-04,Costa Rica,Uruguay,0.0,2.0,Miami Cup,Miami,United States,True,-2.0,-1,0,28.5,30.0,42,5.0
1990-02-04,Iran,Poland,0.0,1.0,Friendly,Tehran,Iran,False,-1.0,-1,0,28.5,30.0,22,5.0
1990-02-04,South Korea,Norway,2.0,3.0,Malta International Tournament,Attard,Malta,True,-1.0,-1,0,27.5,30.0,24,5.0
1990-02-04,United States,Colombia,1.0,1.0,Miami Cup,Miami,United States,False,0.0,0,0,25.5,30.0,18,5.0
1990-02-05,United Arab Emirates,Denmark,1.0,1.0,Friendly,Dubai,United Arab Emirates,False,0.0,0,0,27.2,30.0,47,5.0
1990-02-12,United Arab Emirates,Finland,1.0,1.0,Friendly,Dubai,United Arab Emirates,False,0.0,0,0,27.2,30.0,47,5.0
1990-02-14,Egypt,Denmark,0.0,0.0,Friendly,Cairo,Egypt,False,0.0,0,0,27.5,30.0,32,5.0
1990-02-14,United Arab Emirates,Sweden,2.0,1.0,Friendly,Dubai,United Arab Emirates,False,1.0,1,1,27.2,30.0,47,5.0
1990-02-17,United Arab Emirates,Sweden,0.0,2.0,Friendly,Dubai,United Arab Emirates,False,-2.0,-1,0,27.2,30.0,47,5.0
1990-02-18,Egypt,South Korea,0.0,0.0,Friendly,Cairo,Egypt,False,0.0,0,0,27.5,30.0,32,5.0
1990-02-20,Colombia,Russia,0.0,0.0,Marlboro Cup,Los Angeles,United States,True,0.0,0,0,28.0,30.0,13,5.0
1990-02-21,Belgium,Sweden,0.0,0.0,Friendly,Brussels,Belgium,False,0.0,0,0,28.5,55.0,8,9.5
1990-02-21,Morocco,Ivory Coast,2.0,1.0,Friendly,Rabat,Morocco,False,1.0,1,1,27.1,55.0,6,9.5
1990-02-21,Netherlands,Italy,0.0,0.0,Friendly,Rotterdam,Netherlands,False,0.0,0,0,27.0,30.0,14,5.0
1990-02-21,Spain,Czechoslovakia,1.0,0.0,Friendly,Alicante,Spain,False,1.0,1,1,26.5,60.0,3,9.8
1990-02-22,Costa Rica,Russia,1.0,2.0,Marlboro Cup,Los Angeles,United States,True,-1.0,-1,0,28.5,30.0,42,5.0
1990-02-23,Qatar,Bahrain,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,0.0,0,0,28.0,30.0,41,5.0
1990-02-24,United States,Russia,1.0,3.0,Friendly,Palo Alto,United States,False,-2.0,-1,0,25.5,30.0,18,5.0
1990-02-27,Qatar,United Arab Emirates,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,0.0,0,0,28.0,30.0,41,5.0
1990-02-28,Egypt,Austria,0.0,0.0,Friendly,Cairo,Egypt,False,0.0,0,0,27.5,30.0,32,5.0
1990-02-28,France,Germany,2.0,1.0,Friendly,Montpellier,France,False,1.0,1,1,26.8,60.0,2,10.0
1990-03-02,Algeria,Nigeria,5.0,1.0,African Cup of Nations,Algiers,Algeria,False,4.0,1,1,28.2,30.0,37,5.0
1990-03-02,Ivory Coast,Egypt,3.0,1.0,African Cup of Nations,Algiers,Algeria,True,2.0,1,1,27.0,30.0,34,5.0
1990-03-03,Cameroon,Zambia,0.0,1.0,African Cup of Nations,Annaba,Algeria,True,-1.0,-1,0,26.8,30.0,35,5.0
1990-03-03,Senegal,Kenya,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,0.0,0,0,27.6,30.0,20,5.0
1990-03-05,Algeria,Ivory Coast,3.0,0.0,African Cup of Nations,Algiers,Algeria,False,3.0,1,1,28.2,30.0,37,5.0
1990-03-05,Nigeria,Egypt,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,1.0,1,1,26.2,30.0,33,5.0
1990-03-06,Cameroon,Senegal,0.0,2.0,African Cup of Nations,Annaba,Algeria,True,-2.0,-1,0,26.8,30.0,35,5.0
1990-03-08,Algeria,Egypt,2.0,0.0,African Cup of Nations,Algiers,Algeria,False,2.0,1,1,28.2,30.0,37,5.0
1990-03-08,Nigeria,Ivory Coast,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,1.0,1,1,26.2,30.0,33,5.0
1990-03-09,Cameroon,Kenya,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,2.0,1,1,26.8,30.0,35,5.0
1990-03-10,United States,Finland,2.0,1.0,Friendly,Tampa,United States,False,1.0,1,1,25.5,30.0,18,5.0
1990-03-12,Algeria,Senegal,2.0,1.0,African Cup of Nations,Algiers,Algeria,False,1.0,1,1,28.2,30.0,37,5.0
1990-03-12,Nigeria,Zambia,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,2.0,1,1,26.2,30.0,33,5.0
1990-03-15,Senegal,Zambia,0.0,1.0,African Cup of Nations,Algiers,Algeria,True,-1.0,-1,0,27.6,30.0,20,5.0
1990-03-16,Algeria,Nigeria,1.0,0.0,African Cup of Nations,Algiers,Algeria,False,1.0,1,1,28.2,30.0,37,5.0
1990-03-16,Jamaica,Barbados,0.0,1.0,Friendly,Kingston,Jamaica,False,-1.0,-1,0,27.0,30.0,44,5.0
1990-03-18,Jamaica,Barbados,1.0,0.0,Friendly,Kingston,Jamaica,False,1.0,1,1,27.0,30.0,44,5.0
1990-03-20,Mexico,Uruguay,2.0,1.0,Friendly,Los Angeles,United States,True,1.0,1,1,27.8,30.0,19,5.0
1990-03-28,Egypt,Romania,1.0,3.0,Friendly,Cairo,Egypt,False,-2.0,-1,0,27.5,30.0,32,5.0
1990-03-28,England,Brazil,1.0,0.0,Friendly,London,England,False,1.0,1,1,26.2,55.0,5,9.5
1990-03-28,Poland,Yugoslavia,0.0,0.0,Friendly,Łódź,Poland,False,0.0,0,0,28.0,30.0,28,5.0
1990-03-28,Spain,Austria,2.0,3.0,Friendly,Málaga,Spain,False,-1.0,-1,0,26.5,60.0,3,9.8
1990-03-31,Switzerland,Italy,0.0,1.0,Friendly,Basel,Switzerland,False,-1.0,-1,0,28.2,30.0,17,5.0
1990-04-03,Switzerland,Romania,2.0,1.0,Friendly,Lucerne,Switzerland,False,1.0,1,1,28.2,30.0,17,5.0
1990-04-08,United States,Iceland,4.0,1.0,Friendly,St. Louis,United States,False,3.0,1,1,25.5,30.0,18,5.0
1990-04-11,Algeria,Sweden,1.0,1.0,Friendly,Algiers,Algeria,False,0.0,0,0,28.2,30.0,37,5.0
1990-04-11,Austria,Hungary,3.0,0.0,Friendly,Salzburg,Austria,False,3.0,1,1,27.2,30.0,27,5.0
1990-04-11,Denmark,Turkey,1.0,0.0,Friendly,Copenhagen,Denmark,False,1.0,1,1,27.9,30.0,23,5.0
1990-04-17,Mexico,Colombia,2.0,0.0,Friendly,Los Angeles,United States,True,2.0,1,1,27.8,30.0,19,5.0
1990-04-22,United States,Colombia,0.0,1.0,Friendly,Miami,United States,False,-1.0,-1,0,25.5,30.0,18,5.0
1990-04-25,England,Czechoslovakia,4.0,2.0,Friendly,London,England,False,2.0,1,1,26.2,55.0,5,9.5
1990-04-25,Germany,Uruguay,3.0,3.0,Friendly,Stuttgart,Germany,False,0.0,0,0,27.5,55.0,9,9.5
1990-04-25,Sweden,Wales,4.0,2.0,Friendly,Solna,Sweden,False,2.0,1,1,27.4,55.0,10,9.5
1990-04-29,Jamaica,Saint Kitts and Nevis,3.0,0.0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,3.0,1,1,27.0,30.0,44,5.0
1990-05-03,Austria,Argentina,1.0,1.0,Friendly,Vienna,Austria,False,0.0,0,0,27.2,30.0,27,5.0
1990-05-04,Colombia,Poland,2.0,1.0,Marlboro Cup,Chicago,United States,True,1.0,1,1,28.0,30.0,13,5.0
1990-05-05,Brazil,Bulgaria,2.0,1.0,Friendly,Campinas,Brazil,False,1.0,1,1,27.5,55.0,4,9.5
1990-05-05,United States,Malta,1.0,0.0,Friendly,Piscataway,United States,False,1.0,1,1,25.5,30.0,18,5.0
1990-05-06,Costa Rica,Poland,0.0,2.0,Marlboro Cup,Chicago,United States,True,-2.0,-1,0,28.5,30.0,42,5.0
1990-05-08,Switzerland,Argentina,1.0,1.0,Friendly,Bern,Switzerland,False,0.0,0,0,28.2,30.0,17,5.0
1990-05-09,United States,Poland,3.0,1.0,Friendly,Hershey,United States,False,2.0,1,1,25.5,30.0,18,5.0
1990-05-13,Brazil,German DR,3.0,3.0,Friendly,Rio de Janeiro,Brazil,False,0.0,0,0,27.5,55.0,4,9.5
1990-05-13,Canada,Mexico,2.0,1.0,NAFU Championship,Burnaby,Canada,False,1.0,1,1,26.5,30.0,38,5.0
1990-05-15,England,Denmark,1.0,0.0,Friendly,London,England,False,1.0,1,1,26.2,55.0,5,9.5
1990-05-20,Jamaica,Saint Martin,1.0,0.0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,1.0,1,1,27.0,30.0,44,5.0
1990-05-21,Poland,United Arab Emirates,4.0,0.0,Friendly,Marseille,France,True,4.0,1,1,28.0,30.0,28,5.0
1990-05-22,England,Uruguay,1.0,2.0,Friendly,London,England,False,-1.0,-1,0,26.2,55.0,5,9.5
1990-05-26,Belgium,Romania,2.0,2.0,Friendly,Brussels,Belgium,False,0.0,0,0,28.5,55.0,8,9.5
1990-05-26,Egypt,Colombia,1.0,1.0,Friendly,Cairo,Egypt,False,0.0,0,0,27.5,30.0,32,5.0
1990-05-26,Germany,Czechoslovakia,1.0,0.0,Friendly,Düsseldorf,Germany,False,1.0,1,1,27.5,55.0,9,9.5
1990-05-27,Sweden,Finland,6.0,0.0,Friendly,Solna,Sweden,False,6.0,1,1,27.4,55.0,10,9.5
1990-05-30,Austria,Netherlands,3.0,2.0,Friendly,Vienna,Austria,False,1.0,1,1,27.2,30.0,27,5.0
1990-05-30,Germany,Denmark,1.0,0.0,Friendly,Gelsenkirchen,Germany,False,1.0,1,1,27.5,55.0,9,9.5
1990-05-30,Italy,Greece,0.0,0.0,Friendly,Perugia,Italy,False,0.0,0,0,26.9,30.0,15,5.0
1990-06-02,Belgium,Mexico,3.0,0.0,Friendly,Brussels,Belgium,False,3.0,1,1,28.5,55.0,8,9.5
1990-06-02,Switzerland,United States,2.0,1.0,Friendly,St. Gallen,Switzerland,False,1.0,1,1,28.2,30.0,17,5.0
1990-06-06,Belgium,Poland,1.0,1.0,Friendly,Brussels,Belgium,False,0.0,0,0,28.5,55.0,8,9.5
1990-06-06,Norway,Denmark,1.0,2.0,Friendly,Trondheim,Norway,False,-1.0,-1,0,26.5,55.0,11,9.5
1990-06-08,Argentina,Cameroon,0.0,1.0,FIFA World Cup,Milan,Italy,True,-1.0,-1,0,28.1,60.0,1,9.9
1990-06-09,Italy,Austria,1.0,0.0,FIFA World Cup,Rome,Italy,False,1.0,1,1,26.9,30.0,15,5.0
1990-06-09,United Arab Emirates,Colombia,0.0,2.0,FIFA World Cup,Bologna,Italy,True,-2.0,-1,0,27.2,30.0,47,5.0
1990-06-10,Brazil,Sweden,2.0,1.0,FIFA World Cup,Turin,Italy,True,1.0,1,1,27.5,55.0,4,9.5
1990-06-10,Germany,Yugoslavia,4.0,1.0,FIFA World Cup,Milan,Italy,True,3.0,1,1,27.5,55.0,9,9.5
1990-06-10,United States,Czechoslovakia,1.0,5.0,FIFA World Cup,Florence,Italy,True,-4.0,-1,0,25.5,30.0,18,5.0
